SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,LEA_TYPE,LEA_TYPE_TEXT,OUT_OF_STATE_FLAG,CHARTER_LEA,CHARTER_LEA_TEXT,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,OPERATIONAL_SCHOOLS
2023-2024,01,ALABAMA,AL,Alabama Youth Services,01,,AL-210,0100002,1000 Industrial School Road,,,Mt Meigs,AL,36057,0066,1000 Industrial School Road,,,Mt Meigs,AL,36057,0066,(334)215-3860,http://www.dys.alabama.gov/school-district.html,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,0
2023-2024,01,ALABAMA,AL,Albertville City,01,,AL-101,0100005,8379 US Highway 431,,,Albertville,AL,35950,1625,8379 US Highway 431,,,Albertville,AL,35950,0025,(256)891-1183,http://www.albertk12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,6
2023-2024,01,ALABAMA,AL,Marshall County,01,,AL-048,0100006,12380 US Highway 431 S,,,Guntersville,AL,35976,9351,12380 US Highway 431 S,,,Guntersville,AL,35976,9351,(256)582-3171,http://www.marshallk12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,15
2023-2024,01,ALABAMA,AL,Hoover City,01,,AL-158,0100007,2810 Metropolitan Way,,,Hoover,AL,35243,2944,2810 Metropolitan Way,,,Hoover,AL,35243,2944,(205)439-1015,http://www.hoovercityschools.net,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,18
2023-2024,01,ALABAMA,AL,Madison City,01,,AL-169,0100008,211 Celtic Dr,,,Madison,AL,35758,1853,211 Celtic Drive,,,Madison,AL,35758,1615,(256)464-8370,http://www.madisoncity.k12.al.us,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,13
2023-2024,01,ALABAMA,AL,Al Inst Deaf And Blind,01,,AL-600,0100009,PO Box 698,,,Talladega,AL,35161,0698,205 E South Street,,,Talladega,AL,35160,2411,(256)761-3200,http://www.aidb.org,1,Open,1,Open,07/30/2024,5,State operated agency,No,NOTCHR,Not a charter district,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,5
2023-2024,01,ALABAMA,AL,Al Sch Of Math And Science,01,,AL-610,0100010,1255 Dauphin St,,,Mobile,AL,36604,2519,1255 Dauphin Street,,,Mobile,AL,36604,2519,(251)441-2100,,1,Open,1,Open,07/30/2024,5,State operated agency,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,10,12,High,As reported,0
2023-2024,01,ALABAMA,AL,Leeds City,01,,AL-167,0100011,1517 Hurst Avenue,,,Leeds,AL,35094,0020,1517 Hurst Avenue,,,Leeds,AL,35094,0020,(205)699-5437,http://www.leedsk12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,Boaz City,01,,AL-115,0100012,126 Newt Parker Dr,,,Boaz,AL,35957,,126 Newt Parker Dr,,,Boaz,AL,35957,,(256)593-8180,http://www.boazk12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,01,ALABAMA,AL,Trussville City,01,,AL-205,0100013,476 Main Street,,,Trussville,AL,35173,1341,476 Main Street,,,Trussville,AL,35173,1341,(205)228-3018,http://trussvillecityschools.com,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
