LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,PCT_CITY11,PCT_CITY12,PCT_CITY13,PCT_SUB21,PCT_SUB22,PCT_SUB23,PCT_TOWN31,PCT_TOWN32,PCT_TOWN33,PCT_RURAL41,PCT_RURAL42,PCT_RURAL43
100002,Alabama Youth Services,1,1000 Industrial School Road,Mt Meigs,AL,36057,1,1101,Montgomery County,32.376397000000004,-86.084642,33860,"Montgomery, AL",1,388,"Montgomery-Selma, AL",102,01075,01025,2024-2025,41,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
100005,Albertville City,1,8379 US Highway 431,Albertville,AL,35950,1,1095,Marshall County,34.282186,-86.22362700000001,10700,"Albertville, AL",2,290,"Huntsville-Decatur-Albertville, AL-TN",104,01026,01009,2024-2025,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
100006,Marshall County,1,12380 US Highway 431 S,Guntersville,AL,35976,1,1095,Marshall County,34.30577,-86.286958,10700,"Albertville, AL",2,290,"Huntsville-Decatur-Albertville, AL-TN",104,01026,01009,2024-2025,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,5.51,94.46,0.0
100007,Hoover City,1,2810 Metropolitan Way,Hoover,AL,35243,1,1073,Jefferson County,33.407169,-86.766082,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",106,01047,01016,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100008,Madison City,1,211 Celtic Drive,Madison,AL,35758,1,1089,Madison County,34.686721,-86.74574100000001,26620,"Huntsville, AL",1,290,"Huntsville-Decatur-Albertville, AL-TN",105,01004,01002,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100009,Al Inst Deaf And Blind,1,205 E South Street,Talladega,AL,35160,1,1121,Talladega County,33.431960000000004,-86.098534,45180,"Talladega-Sylacauga, AL",2,142,"Birmingham-Cullman-Talladega, AL",103,01035,01011,2024-2025,32,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
100010,Al Sch Of Math And Science,1,1255 Dauphin Street,Mobile,AL,36604,1,1097,Mobile County,30.686571,-88.065476,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",102,01097,01033,2024-2025,12,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
100011,Leeds City,1,1517 Hurst Avenue,Leeds,AL,35094,1,1073,Jefferson County,33.549781,-86.535914,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",106,01045,01015,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100012,Boaz City,1,126 Newt Parker Dr,Boaz,AL,35957,1,1095,Marshall County,34.213187,-86.160456,10700,"Albertville, AL",2,290,"Huntsville-Decatur-Albertville, AL-TN",104,01026,01009,2024-2025,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
100013,Trussville City,1,476 Main Street,Trussville,AL,35173,1,1073,Jefferson County,33.616974,-86.619249,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",106,01044,01017,2024-2025,21,0.0,0.0,0.0,68.61,0.0,0.0,0.0,0.0,0.0,31.39,0.0,0.0
100018,Alabama School of Fine Arts,1,1800 Rev Abraham Woods Jr Blvd,Birmingham,AL,35203,1,1073,Jefferson County,33.520933,-86.81293600000001,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",107,01054,01018,2024-2025,12,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
100030,Alexander City,1,375 Lee Street,Alexander City,AL,35010,1,1123,Tallapoosa County,32.940361,-85.957909,10760,"Alexander City, AL",2,194,"Columbus-Auburn-Opelika, GA-AL",103,01081,01030,2024-2025,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4,0.0,14.6,0.0,0.0
100060,Andalusia City,1,1201 C C Baker Avenue,Andalusia,AL,36421,1,1039,Covington County,31.327923000000002,-86.482833,N,N,0,N,N,101,01092,01031,2024-2025,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.65,59.35,0.0,0.0
100090,Anniston City,1,4804 McClellan Boulevard,Anniston,AL,36206,1,1015,Calhoun County,33.708165,-85.822863,11500,"Anniston-Oxford, AL",1,N,N,103,01032,01012,2024-2025,13,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100100,Arab City,1,750 Arabian Dr NE,Arab,AL,35016,1,1095,Marshall County,34.312835,-86.495242,10700,"Albertville, AL",2,290,"Huntsville-Decatur-Albertville, AL-TN",104,01027,01009,2024-2025,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
100120,Athens City,1,455 US Highway 31 North,Athens,AL,35611,1,1083,Limestone County,34.809200000000004,-86.949816,26620,"Huntsville, AL",1,290,"Huntsville-Decatur-Albertville, AL-TN",105,01005,01006,2024-2025,31,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
100176,JF Ingram State Technical College,1,5375 Ingram Rd,Deatsville,AL,36022,1,1051,Elmore County,32.582667,-86.391816,33860,"Montgomery, AL",1,388,"Montgomery-Selma, AL",106,01031,01030,2024-2025,41,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,62.5,12.5,0.0
100180,Attalla City,1,101 Case Avenue SE,Attalla,AL,35954,1,1055,Etowah County,33.998996,-86.108597,23460,"Gadsden, AL",1,N,N,103,01028,01010,2024-2025,23,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
100185,Saraland City,1,4010 Lil Spartan Drive,Saraland,AL,36571,1,1097,Mobile County,30.862118000000002,-88.126675,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",101,01098,01034,2024-2025,21,0.0,0.0,0.0,84.15,0.0,0.0,0.0,0.0,0.0,15.85,0.0,0.0
100188,Chickasaw City,1,201 N Craft HWY,Chickasaw,AL,36611,1,1097,Mobile County,30.763732,-88.075055,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",102,01097,01022,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100189,Satsuma City,1,220 Baker Road,Satsuma,AL,36572,1,1097,Mobile County,30.849239,-88.06779900000001,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",101,01098,01022,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100190,Alabaster City,1,10111 Highway 119,Alabaster,AL,35007,1,1117,Shelby County,33.226138,-86.824059,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",106,01073,01014,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100194,Pelham City,1,3160 Pelham Parkway,Pelham,AL,35124,1,1117,Shelby County,33.287785,-86.811329,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",106,01073,01014,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100195,Pike Road City,1,9045 Vaughn Road,Montgomery,AL,36117,1,1101,Montgomery County,32.367124000000004,-86.12607200000001,33860,"Montgomery, AL",1,388,"Montgomery-Selma, AL",102,01075,01025,2024-2025,41,0.0,0.0,0.0,45.43,0.0,0.0,0.0,0.0,0.0,54.57,0.0,0.0
100197,MAEF Public Charter Schools,1,3725 AIRPORT BLVD,MOBILE,AL,36608,1,1097,Mobile County,30.672421,-88.13860700000001,33660,"Mobile, AL",1,380,"Mobile-Daphne-Fairhope, AL",102,01103,01034,2024-2025,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100199,University Charter School,1,134 University Drive,Livingston,AL,35470,1,1119,Sumter County,32.601648000000004,-88.186266,N,N,0,N,N,107,01071,01024,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100201,Legacy Prep,1,1500 Daniel Payne Drive,Birmingham,AL,35214,1,1073,Jefferson County,33.553991,-86.872386,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",107,01060,01020,2024-2025,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100202,Gulf Shores City,1,300 East 16th Ave,Gulf Shores,AL,36542,1,1003,Baldwin County,30.269665,-87.682647,19300,"Daphne-Fairhope-Foley, AL",1,380,"Mobile-Daphne-Fairhope, AL",101,01095,01032,2024-2025,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
100203,LEAD Academy,1,2897 Eastern Blvd,Montgomery,AL,36116,1,1101,Montgomery County,32.341405,-86.223619,33860,"Montgomery, AL",1,388,"Montgomery-Selma, AL",102,01076,01026,2024-2025,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100204,i3 Academy,1,1 55th Place South,Birmingham,AL,35212,1,1073,Jefferson County,33.540173,-86.751554,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",107,01054,01018,2024-2025,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100207,LIFE Academy,1,2048 West Fairview Avenue,Montgomery,AL,36108,1,1101,Montgomery County,32.352192,-86.328259,33860,"Montgomery, AL",1,388,"Montgomery-Selma, AL",102,01077,01026,2024-2025,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100208,Breakthrough Charter School,1,1820 Prier Drive,Marion,AL,35756,1,1105,Perry County,32.607571,-87.335131,N,N,0,N,N,107,01067,01023,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
